walking distance
air conditioning
reasonably priced
ice cream
credit card
ironing board
orange juice
horseback riding
mixed feelings
peanut butter
cigarette butts
grocery store
language barrier
vending machines
years ago
falling apart
empire state
air conditioner
beaten track
en route
olive oil
cruise ship
look forward
washing machine
centrally located
baked goods
looking forward
highly recommended
ground floor
movie theater
palm trees
tennis court
air conditioned
ice creams
taken care
church bells
public transport
golf course
fell asleep
vending machine
wide range
national park
safety deposit
easily accessible
24 hours
travel agent
wash basin
taken aback
brand new
exhaust fan
rice fields
railway station
100 yards
gift shop
water pressure
24 hr
phone calls
baked beans
customer service
easy access
swimming pool
grocery stores
wide variety
24 hour
fresh fruit
live music
fully equipped
15 minutes
sand dunes
light bulbs
high standard
wheel chair
vast majority
reasonable prices
public transportation
public areas
10 minutes
finishing touches
tucked away
year old
short walk
warm welcome
20 minutes
east coast
air conditioners
steep hill
parking lot
sliding glass
log fire
young man
30 minutes
light bulb
lemon tree
45 minutes
bus stop
smiling faces
interior design
shopping centers
natural beauty
fried eggs
towel rack
young lady
general manager
west coast
regular basis
months ago
storage space
tourist attractions
taxi drivers
hot water
took advantage
master bedroom
fellow travelers
readily available
worth noting
rain forest
summer months
strongly recommend
long term
bus stops
soft drinks
worked tirelessly
taxi driver
fresh air
showing signs
heating system
different types
5 minutes
happy hour
weeks ago
coffee pot
young children
price tag
gas station
regular visitor
48 hours
department store
north shore
assistant manager
football game
dire need
wide selection
reasonable rates
2 weeks
short notice
felt like
sun rise
background music
palm tree
felt compelled
high speed
numerous occasions
beautifully furnished
narrow streets
heart beat
boat ride
business trip
additional cost
list goes
high rise
blocks away
extra charge
exchange rate
big deal
worked perfectly
chocolate cake
opposite direction
water polo
answer questions
post office
swimming pools
close proximity
years old
main road
hard pressed
working order
lower level
directly opposite
fresh fruits
sounded like
useful information
early morning
taking care
poster bed
30 min
short drive
bedside table
check in
check out
